Rk,Name,Born,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Mats Sundin,1971,F,1346,564,785,1349,1093,73,,,,,373,160,31,96,15,467,293,25,126,14,840,453,56,222,29,33.6%,,,,,,,,,,0.419,0.583,1.002,4015,14.1%,182,134,10 218,8307,55.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Dave Andreychuk,1963,F,1639,640,698,1338,1121,32,,,,,356,274,10,77,7,402,293,3,103,4,758,567,13,180,11,42.4%,,,,,,,,,,0.39,0.426,0.816,4554,14.1%,5,30,2851,2294,55.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Denis Savard,1961,F,1196,473,865,1338,1336,103,,,,,326,127,20,56,1,491,361,13,87,4,817,488,33,143,5,36.5%,,,,,,,,,,0.395,0.723,1.119,3142,15.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Mike Gartner,1959,F,1432,708,627,1335,1159,68,,,,,467,217,24,90,7,426,196,5,79,1,893,413,29,169,8,30.9%,,,,,,,,,,0.494,0.438,0.932,5090,13.9%,,,11,10,52.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Pierre Turgeon,1969,F,1294,515,812,1327,452,139,,,,,315,190,10,86,11,505,297,10,126,11,820,487,20,212,22,36.7%,,,,,,,,,,0.398,0.628,1.026,3154,16.3%,19,19,3794,3683,50.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Gilbert Perreault,1950,F,1191,512,814,1326,500,41,,,,,370,134,8,81,0,512,298,4,106,2,882,432,12,187,2,32.6%,,,,,,,,,,0.43,0.683,1.113,3077,16.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Jarome Iginla,1977,F,1554,625,675,1300,1040,30,,,,,415,197,13,101,7,435,231,9,105,9,850,428,22,206,16,32.9%,,,,,,,,,,0.402,0.434,0.837,4759,13.1%,1169,335,2879,2683,51.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Evgeni Malkin,1986,F,1145,498,798,1296,1160,52,19:39,15:09,4:17,0:13,315,179,4,83,13,484,313,1,136,27,799,492,5,219,40,38.0%,1.327,2.126,3.453,1.089,1.674,2.763,2.189,3.828,6.017,0.435,0.697,1.132,3685,13.5%,679,475,5710,7026,44.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Patrick Kane,1988,F,1230,471,813,1284,442,16,20:10,16:36,3:31,0:03,345,126,0,75,12,521,291,1,127,27,866,417,1,202,39,32.5%,1.139,1.966,3.104,1.014,1.531,2.544,1.746,4.033,5.779,0.383,0.661,1.044,4058,11.6%,316,275,323,510,38.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Alex Delvecchio,1932,F,1550,456,825,1281,383,24,,,,,330,111,15,75,0,544,265,16,118,0,874,376,31,193,0,29.4%,,,,,,,,,,0.294,0.532,0.826,3129,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Al MacInnis,1963,D,1416,340,934,1274,1511,371,,,,,164,166,10,44,3,355,556,23,105,6,519,722,33,149,9,56.7%,,,,,,,,,,0.24,0.66,0.9,5157,6.6%,,,2,0,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Jean Ratelle,1940,F,1280,491,776,1267,276,236,,,,,350,137,4,68,0,560,213,3,108,0,910,350,7,176,0,27.6%,,,,,,,,,,0.384,0.606,0.99,2916,16.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Peter Stastny,1956,F,977,450,789,1239,824,-15,,,,,298,145,7,54,2,461,321,7,87,1,759,466,14,141,3,37.6%,,,,,,,,,,0.461,0.808,1.268,2374,19.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Phil Housley,1964,D,1495,338,894,1232,822,-53,,,,,202,129,7,49,5,408,483,3,107,8,610,612,10,156,13,49.7%,,,,,,,,,,0.226,0.598,0.824,3808,8.9%,,,2,1,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Norm Ullman,1935,F,1410,490,739,1229,710,7,,,,,366,116,8,59,0,554,172,13,111,0,920,288,21,170,0,23.4%,,,,,,,,,,0.348,0.524,0.872,3426,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Jean Beliveau,1931,F,1125,507,712,1219,1033,117,,,,,334,173,0,83,0,441,269,2,118,0,775,442,2,201,0,36.3%,,,,,,,,,,0.451,0.633,1.084,2627,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Larry Murphy,1961,D,1615,288,929,1217,1084,197,,,,,165,114,9,36,4,478,433,18,118,6,643,547,27,154,10,44.9%,,,,,,,,,,0.178,0.575,0.754,3604,8.0%,,,2,0,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Jeremy Roenick,1970,F,1363,513,703,1216,1463,153,,,,,301,184,28,92,5,436,247,20,119,8,737,431,48,211,13,35.4%,,,,,,,,,,0.376,0.516,0.892,3281,15.6%,298,77,4406,4409,49.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Anze Kopitar,1987,F,1373,419,792,1211,344,94,20:54,15:44,3:18,1:50,285,120,14,71,9,476,303,13,128,23,761,423,27,199,32,34.9%,0.876,1.656,2.532,0.791,1.321,2.112,1.587,4.008,5.595,0.305,0.577,0.882,3230,13.0%,1232,963,13 614,11 995,53.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Bobby Clarke,1949,F,1144,358,852,1210,1453,507,,,,,227,99,32,38,1,583,234,35,127,0,810,333,67,165,1,27.5%,,,,,,,,,,0.313,0.745,1.058,2576,13.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bernie Nicholls,1961,F,1127,475,734,1209,1292,-39,,,,,295,152,28,35,5,431,288,15,87,4,726,440,43,122,9,36.4%,,,,,,,,,,0.421,0.651,1.073,3231,14.7%,,,618,455,57.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
