Year,Film,Nominee,Winner
2020,Judas and the Black Messiah,Daniel Kaluuya,TRUE
2020,Calm with Horses,Barry Keoghan,FALSE
2020,Minari,Alan Kim,FALSE
2020,One Night in Miami...,Leslie Odom Jr.,FALSE
2020,Da 5 Bloods,Clarke Peters,FALSE
2020,Sound of Metal,Paul Raci,FALSE
2021,CODA,Troy Kotsur,TRUE
2021,West Side Story,Mike Faist,FALSE
2021,Belfast,Ciarán Hinds,FALSE
2021,C'mon C'mon,Woody Norman,FALSE
2021,The Power of the Dog,Jesse Plemons,FALSE
2021,The Power of the Dog,Kodi Smit-McPhee,FALSE
2022,The Banshees of Inisherin,Barry Keoghan,TRUE
2022,The Banshees of Inisherin,Brendan Gleeson,FALSE
2022,Everything Everywhere All at Once,Ke Huy Quan,FALSE
2022,The Good Nurse,Eddie Redmayne,FALSE
2022,All Quiet on the Western Front,Albrecht Schuch,FALSE
2022,Empire of Light,Micheal Ward,FALSE
2023,Oppenheimer,Robert Downey Jr.,TRUE
2023,Killers of the Flower Moon,Robert De Niro,FALSE
2023,Saltburn,Jacob Elordi,FALSE
2023,Barbie,Ryan Gosling,FALSE
2023,All of Us Strangers,Paul Mescal,FALSE
2023,The Holdovers,Dominic Sessa,FALSE
2024,A Real Pain,Kieran Culkin,TRUE
2024,Anora,Yura Borisov,FALSE
2024,Sing Sing,Clarence Maclin,FALSE
2024,A Complete Unknown,Edward Norton,FALSE
2024,The Brutalist,Guy Pearce,FALSE
2024,The Apprentice,Jeremy Strong,FALSE
