Year,Film,Nominee,Winner
1965,Those Magnificent Men in Their Flying Machines,Ken Annakin & Jack Davies,FALSE
1965,The Train,Franklin Coen & Frank Davis,FALSE
1965,The Umbrellas of Cherbourg,Jacques Demy,FALSE
1966,A Man and a Woman,Screenplay: Claude Lelouch & Pierre Uytterhoeven; Story: Lelouch ‡,TRUE
1966,Blowup,"Screenplay: Michelangelo Antonioni, Edward Bond & Tonino Guerra; Story: Antonioni",FALSE
1966,The Fortune Cookie,I. A. L. Diamond & Billy Wilder,FALSE
1966,Khartoum,Robert Ardrey,FALSE
1966,The Naked Prey,Clint Johnston & Don Peters,FALSE
1967,Guess Who's Coming to Dinner,William Rose‡,TRUE
1967,Bonnie and Clyde,Robert Benton & David Newman,FALSE
1967,Divorce American Style,Screenplay: Norman Lear; Story: Robert Kaufman,FALSE
1967,La Guerre Est Finie,Jorge Semprún,FALSE
1967,Two for the Road,Frederic Raphael,FALSE
1968,The Producers,Mel Brooks‡,TRUE
1968,The Battle of Algiers,Gillo Pontecorvo & Franco Solinas,FALSE
1968,Faces,John Cassavetes,FALSE
1968,Hot Millions,Peter Ustinov & Ira Wallach,FALSE
1968,2001: A Space Odyssey,Arthur C. Clarke & Stanley Kubrick,FALSE
1969,Butch Cassidy and the Sundance Kid,William Goldman‡,TRUE
1969,Bob & Carol & Ted & Alice,Paul Mazursky & Larry Tucker,FALSE
1969,The Damned,"Screenplay: Nicola Badalucco, Enrico Medioli & Luchino Visconti; Story: Badalucco",FALSE
1969,Easy Rider,"Peter Fonda, Dennis Hopper & Terry Southern",FALSE
1969,The Wild Bunch,Screenplay: Walon Green & Sam Peckinpah; Story: Green & Roy N. Sickner,FALSE
1970,Patton,Francis Ford Coppola & Edmund H. North‡,TRUE
1970,Five Easy Pieces,Screenplay: Carole Eastman; Story: Eastman & Bob Rafelson,FALSE
1970,Joe,Norman Wexler,FALSE
1970,Love Story,Erich Segal,FALSE
1970,My Night at Maud's,Éric Rohmer,FALSE
1971,The Hospital,Paddy Chayefsky‡,TRUE
1971,Investigation of a Citizen Above Suspicion,Elio Petri & Ugo Pirro,FALSE
1971,Klute,Andy & David Lewis,FALSE
1971,Summer of '42,Herman Raucher,FALSE
1971,Sunday Bloody Sunday,Penelope Gilliatt,FALSE
1972,The Candidate,Jeremy Larner‡,TRUE
1972,The Discreet Charm of the Bourgeoisie,Screenplay & Story: Luis Buñuel; Collaboration: Jean-Claude Carrière,FALSE
1972,Lady Sings the Blues,"Chris Clark, Suzanne de Passe & Terrence McCloy",FALSE
1972,Murmur of the Heart,Louis Malle,FALSE
1972,Young Winston,Carl Foreman,FALSE
1973,The Sting,David S. Ward‡,TRUE
1973,American Graffiti,"Willard Huyck, George Lucas & Gloria Katz",FALSE
1973,Cries and Whispers,Ingmar Bergman,FALSE
1973,Save the Tiger,Steve Shagan,FALSE
1973,A Touch of Class,Melvin Frank & Jack Rose,FALSE
1974,Chinatown,Robert Towne‡,TRUE
1974,Alice Doesn't Live Here Anymore,Robert Getchell,FALSE
1974,The Conversation,Francis Ford Coppola,FALSE
1974,Day for Night,"Jean-Louis Richard, Suzanne Schiffman & François Truffaut",FALSE
1974,Harry and Tonto,Josh Greenfeld & Paul Mazursky,FALSE
1975,Dog Day Afternoon,Frank Pierson‡,TRUE
1975,Amarcord,Federico Fellini & Tonino Guerra,FALSE
1975,And Now My Love,Claude Lelouch & Pierre Uytterhoeven,FALSE
1975,Lies My Father Told Me,Ted Allan,FALSE
1975,Shampoo,Robert Towne & Warren Beatty,FALSE
1976,Network,Paddy Chayefsky‡,TRUE
1976,"Cousin, Cousine",Screenplay & Story: Jean-Charles Tacchella Adaptation: Daniele Thompson,FALSE
1976,The Front,Walter Bernstein,FALSE
1976,Rocky,Sylvester Stallone,FALSE
1976,Seven Beauties,Lina Wertmüller,FALSE
1977,Annie Hall,Woody Allen & Marshall Brickman,TRUE
1977,The Goodbye Girl,Neil Simon,FALSE
1977,The Late Show,Robert Benton,FALSE
1977,Star Wars,George Lucas,FALSE
1977,The Turning Point,Arthur Laurents,FALSE
1978,Coming Home,Screenplay: Robert C. Jones‡ & Waldo Salt; Story: Nancy Dowd ‡,TRUE
1978,Autumn Sonata,Ingmar Bergman,FALSE
1978,The Deer Hunter,"Screenplay: Deric Washburn; Story: Michael Cimino, Louis Garfinkle, Quinn Redeker & Washburn",FALSE
1978,Interiors,Woody Allen,FALSE
