Year,Film,Nominee,Winner
2004,De-Lovely,Ashley Judd,FALSE
2004,The Phantom of the Opera,Emmy Rossum,FALSE
2004,Eternal Sunshine of the Spotless Mind,Kate Winslet,FALSE
2004,Bridget Jones: The Edge of Reason,Renée Zellweger,FALSE
2005,Walk the Line,Reese Witherspoon,TRUE
2005,Mrs Henderson Presents,Judi Dench,FALSE
2005,Pride & Prejudice,Keira Knightley,FALSE
2005,The Squid and the Whale,Laura Linney,FALSE
2005,The Family Stone,Sarah Jessica Parker,FALSE
2006,The Devil Wears Prada,Meryl Streep,TRUE
2006,Running with Scissors,Annette Bening,FALSE
2006,Little Miss Sunshine,Toni Collette,FALSE
2006,Dreamgirls,Beyoncé Knowles,FALSE
2006,Miss Potter,Renée Zellweger,FALSE
2007,La Vie en Rose,Marion Cotillard,TRUE
2007,Enchanted,Amy Adams,FALSE
2007,Hairspray,Nikki Blonsky,FALSE
2007,Sweeney Todd: The Demon Barber of Fleet Street,Helena Bonham Carter,FALSE
2007,Juno,Elliot Page,FALSE
2008,Happy-Go-Lucky,Sally Hawkins,TRUE
2008,Vicky Cristina Barcelona,Rebecca Hall,FALSE
2008,Burn After Reading,Frances McDormand,FALSE
2008,Mamma Mia!,Meryl Streep,FALSE
2008,Last Chance Harvey,Emma Thompson,FALSE
2009,Julie & Julia,Meryl Streep,TRUE
2009,It's Complicated,Meryl Streep,FALSE
2009,The Proposal,Sandra Bullock,FALSE
2009,Nine,Marion Cotillard,FALSE
2009,Duplicity,Julia Roberts,FALSE
2010,The Kids Are All Right,Annette Bening,TRUE
2010,Love & Other Drugs,Anne Hathaway,FALSE
2010,The Tourist,Angelina Jolie,FALSE
2010,The Kids Are All Right,Julianne Moore,FALSE
2010,Easy A,Emma Stone,FALSE
2011,My Week with Marilyn,Michelle Williams,TRUE
2011,Carnage,Jodie Foster,FALSE
2011,Young Adult,Charlize Theron,FALSE
2011,Bridesmaids,Kristen Wiig,FALSE
2011,Carnage,Kate Winslet,FALSE
2012,Silver Linings Playbook,Jennifer Lawrence,TRUE
2012,Salmon Fishing in the Yemen,Emily Blunt,FALSE
2012,The Best Exotic Marigold Hotel,Judi Dench,FALSE
2012,Quartet,Maggie Smith,FALSE
2012,Hope Springs,Meryl Streep,FALSE
2013,American Hustle,Amy Adams,TRUE
2013,Before Midnight,Julie Delpy,FALSE
2013,Frances Ha,Greta Gerwig,FALSE
2013,Enough Said,Julia Louis-Dreyfus,FALSE
2013,August: Osage County,Meryl Streep,FALSE
2014,Big Eyes,Amy Adams,TRUE
2014,Into the Woods,Emily Blunt,FALSE
2014,The Hundred-Foot Journey,Helen Mirren,FALSE
2014,Maps to the Stars,Julianne Moore,FALSE
2014,Annie,Quvenzhané Wallis,FALSE
2015,Joy,Jennifer Lawrence,TRUE
2015,Spy,Melissa McCarthy,FALSE
2015,Trainwreck,Amy Schumer,FALSE
2015,The Lady in the Van,Maggie Smith,FALSE
2015,Grandma,Lily Tomlin,FALSE
