Year,Film,Nominee,Winner
1959,Some Like It Hot,Billy Wilder,FALSE
1959,Tiger Bay,J. Lee Thompson,FALSE
1959,Yesterday's Enemy,Val Guest,FALSE
1960,The Apartment,Billy Wilder,TRUE
1960,The 400 Blows (Les quatre cents coups),François Truffaut,FALSE
1960,The Angry Silence,Guy Green,FALSE
1960,The Adventure (L'avventura),Michelangelo Antonioni,FALSE
1960,La Dolce Vita,Federico Fellini,FALSE
1960,Elmer Gantry,Richard Brooks,FALSE
1960,"Hiroshima mon amour (二十四時間の情事, Nijūyojikan'nojōji)",Alain Resnais,FALSE
1960,Inherit the Wind,Stanley Kramer,FALSE
1960,Let's Make Love,George Cukor,FALSE
1960,Black Orpheus (Orfeu Negro),Marcel Camus,FALSE
1960,"Never on Sunday (Ποτέ την Κυριακή, Poté tin Kyriakí)",Jules Dassin,FALSE
1960,Saturday Night and Sunday Morning,Karel Reisz,FALSE
1960,Shadows,John Cassavetes,FALSE
1960,Spartacus,Stanley Kubrick,FALSE
1960,The Testament of Orpheus (Le testament d'Orphée),Jean Cocteau,FALSE
1960,The Trials of Oscar Wilde,Ken Hughes,FALSE
1960,Tunes of Glory,Ronald Neame,FALSE
1961,"Ballad of a Soldier (Баллада о солдате, Ballada o soldate) (ex-æquo)",Grigori Chukhrai,TRUE
1961,The Hustler (ex-æquo),Robert Rossen,FALSE
1961,The World of Apu,Satyajit Ray,FALSE
1961,The Innocents,Jack Clayton,FALSE
1961,Judgment at Nuremberg,Stanley Kramer,FALSE
1961,The Long and the Short and the Tall,Leslie Norman,FALSE
1961,Rocco and His Brothers (Rocco e i suoi fratelli),Luchino Visconti,FALSE
1961,The Sundowners,Fred Zinnemann,FALSE
1961,A Taste of Honey,Tony Richardson,FALSE
1961,The Hole (Le Trou; US: The Night Watch),Jacques Becker,FALSE
1961,Whistle Down the Wind,Bryan Forbes,FALSE
1962,Lawrence of Arabia,David Lean,TRUE
1962,Last Year at Marienbad (L'Année dernière à Marienbad),Alain Resnais,FALSE
1962,Billy Budd,Peter Ustinov,FALSE
1962,The Elusive Corporal (Le Caporal épinglé),Jean Renoir,FALSE
1962,"The Lady with the Dog ( Дама с собачкой, Dama s sobachkoy)",Iosif Kheifits,FALSE
1962,"The Naked Island (裸の島, Hadaka no Shima)",Kaneto Shindō,FALSE
1962,Jules and Jim (Jules et Jim),François Truffaut,FALSE
1962,A Kind of Loving,John Schlesinger,FALSE
1962,The L-Shaped Room,Bryan Forbes,FALSE
1962,Lola,Jacques Demy,FALSE
1962,The Manchurian Candidate,John Frankenheimer,FALSE
1962,The Miracle Worker,Arthur Penn,FALSE
1962,Only Two Can Play,Sidney Gilliat,FALSE
1962,Phaedra (Φαίδρα),Jules Dassin,FALSE
1962,Through a Glass Darkly (Såsom i en spegel),Ingmar Bergman,FALSE
1962,Thou Shalt Not Kill (Tu ne tueras point),Claude Autant-Lara,FALSE
1962,The Long Absence (Une aussi longue absence),Henri Colpi,FALSE
1962,West Side Story,"Jerome Robbins, Robert Wise",FALSE
1963,Tom Jones,Tony Richardson,TRUE
1963,8½ (Otto e mezzo),Federico Fellini,FALSE
1963,Billy Liar,John Schlesinger,FALSE
1963,David and Lisa,Frank Perry,FALSE
1963,Days of Wine and Roses,Blake Edwards,FALSE
1963,Divorce Italian Style (Divorzio all'italiana),Pietro Germi,FALSE
1963,Hud,Martin Ritt,FALSE
1963,Knife in the Water (Nóż w wodzie),Roman Polanski,FALSE
1963,The Four Days of Naples (Le quattro giornate di Napoli),Nanni Loy,FALSE
1963,The Servant,Joseph Losey,FALSE
1963,This Sporting Life,Lindsay Anderson,FALSE
1963,To Kill a Mockingbird,Robert Mulligan,FALSE
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,TRUE
1964,Becket,Peter Glenville,FALSE
1964,The Pumpkin Eater,Jack Clayton,FALSE
1964,The Train,John Frankenheimer,FALSE
1965,My Fair Lady,George Cukor,TRUE
1965,"Hamlet (Гамлет, Gamlet)",Grigori Kozintsev,FALSE
1965,The Hill,Sidney Lumet,FALSE
1965,The Knack ...and How to Get It,Richard Lester,FALSE
1965,"Zorba the Greek (Αλέξης Ζορμπάς, Alexis Zorbas)",Michael Cacoyannis,FALSE
1966,Who's Afraid of Virginia Woolf?,Mike Nichols,TRUE
1966,Doctor Zhivago,David Lean,FALSE
1966,Morgan – A Suitable Case for Treatment,Karel Reisz,FALSE
1966,The Spy Who Came in From The Cold,Martin Ritt,FALSE
1967,A Man For All Seasons,Fred Zinnemann,TRUE
1967,Bonnie and Clyde,Arthur Penn,FALSE
1967,In the Heat of the Night,Norman Jewison,FALSE
1967,A Man and a Woman (Un homme et une femme),Claude Lelouch,FALSE
1968,The Graduate,Mike Nichols,TRUE
1968,2001: A Space Odyssey,Stanley Kubrick,FALSE
1968,Oliver!,Carol Reed,FALSE
1968,Closely Observed Trains (Ostře sledované vlaky),Jiří Menzel,FALSE
1969,Midnight Cowboy,John Schlesinger,TRUE
1969,Oh! What a Lovely War,Richard Attenborough,FALSE
1969,Women in Love,Ken Russell,FALSE
1969,Z,Costa Gavras,FALSE
1970,Butch Cassidy and the Sundance Kid,George Roy Hill,TRUE
1970,Kes,Kenneth Loach,FALSE
1970,M*A*S*H,Robert Altman,FALSE
1970,Ryan's Daughter,David Lean,FALSE
1971,Sunday Bloody Sunday,John Schlesinger,TRUE
1971,The Go-Between,Joseph Losey,FALSE
1971,Death in Venice (Morte a Venezia),Luchino Visconti,FALSE
1971,Taking Off,Miloš Forman,FALSE
1972,Cabaret,Bob Fosse,TRUE
1972,A Clockwork Orange,Stanley Kubrick,FALSE
1972,The French Connection,William Friedkin,FALSE
1972,The Last Picture Show,Peter Bogdanovich,FALSE
1973,Day for Night (La Nuit américaine),François Truffaut,TRUE
1973,The Day of the Jackal,Fred Zinnemann,FALSE
1973,The Discreet Charm of the Bourgeoisie (Le Charme discret de la bourgeoisie),Luis Buñuel,FALSE
1973,Don't Look Now,Nicolas Roeg,FALSE
1974,"Lacombe, Lucien",Louis Malle,TRUE
1974,Chinatown,Roman Polanski,FALSE
1974,The Last Detail,Hal Ashby,FALSE
1974,Murder on the Orient Express,Sidney Lumet,FALSE
1975,Alice Doesn't Live Here Anymore,Martin Scorsese,TRUE
1975,Barry Lyndon,Stanley Kubrick,FALSE
1975,Dog Day Afternoon,Sidney Lumet,FALSE
1975,Jaws,Steven Spielberg,FALSE
1976,One Flew Over the Cuckoo's Nest,Miloš Forman,TRUE
1976,All the President's Men,Alan J. Pakula,FALSE
1976,Bugsy Malone,Alan Parker,FALSE
1976,Taxi Driver,Martin Scorsese,FALSE
1977,Annie Hall,Woody Allen,TRUE
1977,A Bridge Too Far,Richard Attenborough,FALSE
1977,Network,Sidney Lumet,FALSE
1977,Rocky,John G. Avildsen,FALSE
1978,Julia,Fred Zinnemann,TRUE
1978,Close Encounters of the Third Kind,Steven Spielberg,FALSE
1978,Midnight Express,Alan Parker,FALSE
1978,Star Wars,George Lucas,FALSE
1979,Manhattan,Woody Allen,TRUE
1979,Apocalypse Now,Francis Coppola,FALSE
1979,The China Syndrome,James Bridges,FALSE
1979,The Deer Hunter,Michael Cimino,FALSE
1980,The Elephant Man,David Lynch,TRUE
1980,Being There,Hal Ashby,FALSE
1980,"Kagemusha (影武者, Kagemusha)",Akira Kurosawa,FALSE
1980,Kramer vs. Kramer,Robert Benton,FALSE
1981,Chariots of Fire,Hugh Hudson,TRUE
1981,Atlantic City,Louis Malle,FALSE
1981,The French Lieutenant's Woman,Karel Reisz,FALSE
1981,Gregory's Girl,Bill Forsyth,FALSE
1981,Raiders of the Lost Ark,Steven Spielberg,FALSE
1982,Gandhi,Richard Attenborough,TRUE
1982,E.T. the Extra-Terrestrial,Steven Spielberg,FALSE
1982,Missing,Costa Gavras,FALSE
1982,On Golden Pond,Mark Rydell,FALSE
1983,Educating Rita,Lewis Gilbert,TRUE
1983,Heat and Dust,James Ivory,FALSE
1983,Local Hero,Bill Forsyth,FALSE
1983,Tootsie,Sydney Pollack,FALSE
1984,The Killing Fields,Roland Joffé,TRUE
1984,The Dresser,Peter Yates,FALSE
1984,"Paris, Texas",Wim Wenders,FALSE
1984,A Private Function,Malcolm Mowbray,FALSE
1985,The Purple Rose of Cairo,Woody Allen,TRUE
1985,Amadeus,Miloš Forman,FALSE
1985,Back to the Future,Robert Zemeckis,FALSE
1985,A Passage to India,David Lean,FALSE
1985,Witness,Peter Weir,FALSE
1986,A Room with a View,James Ivory,TRUE
1986,Hannah and Her Sisters,Woody Allen,FALSE
1986,The Mission,Roland Joffé,FALSE
1986,Mona Lisa,Neil Jordan,FALSE
1987,Jean de Florette,Claude Berri,TRUE
1987,Cry Freedom,Richard Attenborough,FALSE
1987,Hope and Glory,John Boorman,FALSE
1987,Radio Days,Woody Allen,FALSE
1988,The Last Emperor (L'ultimo imperatore),Bernardo Bertolucci,TRUE
1988,Au revoir les enfants,Louis Malle,FALSE
1988,Babette's Feast,Gabriel Axel,FALSE
1988,A Fish Called Wanda,Charles Crichton,FALSE
1989,Dead Poets Society,Peter Weir,TRUE
1989,My Left Foot,Jim Sheridan,FALSE
1989,Shirley Valentine,Lewis Gilbert,FALSE
1989,When Harry Met Sally...,Rob Reiner,FALSE
1990,Goodfellas,Martin Scorsese,TRUE
1990,Crimes and Misdemeanors,Woody Allen,FALSE
1990,Driving Miss Daisy,Bruce Beresford,FALSE
1990,Pretty Woman,Garry Marshall,FALSE
1991,The Commitments,Alan Parker,TRUE
1991,Dances with Wolves,Kevin Costner,FALSE
1991,The Silence of the Lambs,Jonathan Demme,FALSE
1991,Thelma & Louise,Ridley Scott,FALSE
1992,Howards End,James Ivory,TRUE
1992,The Crying Game,Neil Jordan,FALSE
1992,The Player,Robert Altman,FALSE
1992,Strictly Ballroom,Baz Luhrmann,FALSE
1992,Unforgiven,Clint Eastwood,FALSE
1993,Schindler's List,Steven Spielberg,TRUE
1993,The Piano,Jane Campion,FALSE
1993,The Remains of the Day,James Ivory,FALSE
1993,Shadowlands,Richard Attenborough,FALSE
1994,Four Weddings and a Funeral,Mike Newell,TRUE
1994,Forrest Gump,Robert Zemeckis,FALSE
1994,Pulp Fiction,Quentin Tarantino,FALSE
1994,Quiz Show,Robert Redford,FALSE
1995,Sense and Sensibility,Ang Lee,TRUE
1995,Babe,Chris Noonan,FALSE
1995,The Madness of King George,Nicholas Hytner,FALSE
1995,The Usual Suspects,Bryan Singer,FALSE
1996,The English Patient,Anthony Minghella,TRUE
1996,Fargo,Joel Coen,FALSE
1996,Secrets & Lies,Mike Leigh,FALSE
1996,Shine,Scott Hicks,FALSE
1997,The Full Monty,Peter Cattaneo,TRUE
1997,L.A. Confidential,Curtis Hanson,FALSE
1997,Mrs Brown,John Madden,FALSE
1997,Titanic,James Cameron,FALSE
1998,Shakespeare in Love,John Madden,TRUE
1998,Elizabeth,Shekhar Kapur,FALSE
1998,Saving Private Ryan,Steven Spielberg,FALSE
1998,The Truman Show,Peter Weir,FALSE
1999,American Beauty,Sam Mendes,TRUE
1999,East is East,Damien O'Donnell,FALSE
1999,The End of the Affair,Neil Jordan,FALSE
1999,The Sixth Sense,M. Night Shyamalan,FALSE
