Year,Film,Nominee,Winner,id
2017,Film Stars Don't Die in Liverpool,Matt Greenhalgh,FALSE,bafta-basp.csv
2017,Molly's Game,Aaron Sorkin,FALSE,bafta-basp.csv
2017,Paddington 2,Simon Farnaby and Paul King,FALSE,bafta-basp.csv
2018,BlacKkKlansman,"Charlie Wachtel, David Rabinowitz, Kevin Willmott, and Spike Lee",TRUE,bafta-basp.csv
2018,Can You Ever Forgive Me?,Nicole Holofcener and Jeff Whitty,FALSE,bafta-basp.csv
2018,First Man,Josh Singer,FALSE,bafta-basp.csv
2018,If Beale Street Could Talk,Barry Jenkins,FALSE,bafta-basp.csv
2018,A Star Is Born,"Eric Roth, Bradley Cooper, and Will Fetters",FALSE,bafta-basp.csv
2019,Jojo Rabbit,Taika Waititi,TRUE,bafta-basp.csv
2019,The Irishman,Steven Zaillian,FALSE,bafta-basp.csv
2019,Joker,Todd Phillips and Scott Silver,FALSE,bafta-basp.csv
2019,Little Women,Greta Gerwig,FALSE,bafta-basp.csv
2019,The Two Popes,Anthony McCarten,FALSE,bafta-basp.csv
2020,The Father,Christopher Hampton and Florian Zeller,TRUE,bafta-basp.csv
2020,The Dig,Moira Buffini,FALSE,bafta-basp.csv
2020,The Mauritanian,"Rory Haines, Sohrab Noshirvani, and M.B. Traven",FALSE,bafta-basp.csv
2020,Nomadland,Chloé Zhao,FALSE,bafta-basp.csv
2020,The White Tiger,Ramin Bahrani,FALSE,bafta-basp.csv
2021,CODA,Sian Heder,TRUE,bafta-basp.csv
2021,Drive My Car,Ryusuke Hamaguchi and Takamasa Oe,FALSE,bafta-basp.csv
2021,Dune,"Eric Roth, Jon Spaihts, and Denis Villeneuve",FALSE,bafta-basp.csv
2021,The Lost Daughter,Maggie Gyllenhaal,FALSE,bafta-basp.csv
2021,The Power of the Dog,Jane Campion,FALSE,bafta-basp.csv
2022,All Quiet on the Western Front,"Edward Berger, Lesley Paterson, and Ian Stokell",TRUE,bafta-basp.csv
2022,Living,Kazuo Ishiguro,FALSE,bafta-basp.csv
2022,The Quiet Girl,Colm Bairéad,FALSE,bafta-basp.csv
2022,She Said,Rebecca Lenkiewicz,FALSE,bafta-basp.csv
2022,The Whale,Samuel D. Hunter,FALSE,bafta-basp.csv
2023,American Fiction,Cord Jefferson,TRUE,bafta-basp.csv
